,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
323, ,MS Zaandam,0.0,0.0,2020-04-11,9,2,0,7
324,Diamond Princess,Canada,0.0,0.0,2020-04-12,0,1,0,-1
325,Grand Princess,Canada,0.0,0.0,2020-04-12,13,0,0,13
326, ,Diamond Princess,0.0,0.0,2020-04-12,712,11,619,82
327, ,MS Zaandam,0.0,0.0,2020-04-12,9,2,0,7
328,Diamond Princess,Canada,0.0,0.0,2020-04-13,0,1,0,-1
329,Grand Princess,Canada,0.0,0.0,2020-04-13,13,0,0,13
330, ,Diamond Princess,0.0,0.0,2020-04-13,712,11,619,82
331, ,MS Zaandam,0.0,0.0,2020-04-13,9,2,0,7
332,Diamond Princess,Canada,0.0,0.0,2020-04-14,0,1,0,-1
333,Grand Princess,Canada,0.0,0.0,2020-04-14,13,0,0,13
334, ,Diamond Princess,0.0,0.0,2020-04-14,712,12,639,61
335, ,MS Zaandam,0.0,0.0,2020-04-14,9,2,0,7
336,Diamond Princess,Canada,0.0,0.0,2020-04-15,0,1,0,-1
337,Grand Princess,Canada,0.0,0.0,2020-04-15,13,0,0,13
338, ,Diamond Princess,0.0,0.0,2020-04-15,712,12,639,61
339, ,MS Zaandam,0.0,0.0,2020-04-15,9,2,0,7
340,Diamond Princess,Canada,0.0,0.0,2020-04-16,0,1,0,-1
341,Grand Princess,Canada,0.0,0.0,2020-04-16,13,0,0,13
342, ,Diamond Princess,0.0,0.0,2020-04-16,712,12,644,56
343, ,MS Zaandam,0.0,0.0,2020-04-16,9,2,0,7
344,Diamond Princess,Canada,0.0,0.0,2020-04-17,0,1,0,-1
345,Grand Princess,Canada,0.0,0.0,2020-04-17,13,0,0,13
346, ,Diamond Princess,0.0,0.0,2020-04-17,712,13,644,55
347, ,MS Zaandam,0.0,0.0,2020-04-17,9,2,0,7
348,Diamond Princess,Canada,0.0,0.0,2020-04-18,0,1,0,-1
349,Grand Princess,Canada,0.0,0.0,2020-04-18,13,0,0,13
350, ,Diamond Princess,0.0,0.0,2020-04-18,712,13,644,55
351, ,MS Zaandam,0.0,0.0,2020-04-18,9,2,0,7
352,Diamond Princess,Canada,0.0,0.0,2020-04-19,0,1,0,-1
353,Grand Princess,Canada,0.0,0.0,2020-04-19,13,0,0,13
354, ,Diamond Princess,0.0,0.0,2020-04-19,712,13,644,55
355, ,MS Zaandam,0.0,0.0,2020-04-19,9,2,0,7
356,Diamond Princess,Canada,0.0,0.0,2020-04-20,0,1,0,-1
357,Grand Princess,Canada,0.0,0.0,2020-04-20,13,0,0,13
358, ,Diamond Princess,0.0,0.0,2020-04-20,712,13,644,55
359, ,MS Zaandam,0.0,0.0,2020-04-20,9,2,0,7
360,Diamond Princess,Canada,0.0,0.0,2020-04-21,0,1,0,-1
361,Grand Princess,Canada,0.0,0.0,2020-04-21,13,0,0,13
362, ,Diamond Princess,0.0,0.0,2020-04-21,712,13,644,55
363, ,MS Zaandam,0.0,0.0,2020-04-21,9,2,0,7
364,Diamond Princess,Canada,0.0,0.0,2020-04-22,0,1,0,-1
365,Grand Princess,Canada,0.0,0.0,2020-04-22,13,0,0,13
366, ,Diamond Princess,0.0,0.0,2020-04-22,712,13,644,55
367, ,MS Zaandam,0.0,0.0,2020-04-22,9,2,0,7
368,Diamond Princess,Canada,0.0,0.0,2020-04-23,0,1,0,-1
369,Grand Princess,Canada,0.0,0.0,2020-04-23,13,0,0,13
370, ,Diamond Princess,0.0,0.0,2020-04-23,712,13,645,54
371, ,MS Zaandam,0.0,0.0,2020-04-23,9,2,0,7
372,Diamond Princess,Canada,0.0,0.0,2020-04-24,0,1,0,-1
373,Grand Princess,Canada,0.0,0.0,2020-04-24,13,0,0,13
374, ,Diamond Princess,0.0,0.0,2020-04-24,712,13,645,54
375, ,MS Zaandam,0.0,0.0,2020-04-24,9,2,0,7
376,Diamond Princess,Canada,0.0,0.0,2020-04-25,0,1,0,-1
377,Grand Princess,Canada,0.0,0.0,2020-04-25,13,0,0,13
378, ,Diamond Princess,0.0,0.0,2020-04-25,712,13,645,54
379, ,MS Zaandam,0.0,0.0,2020-04-25,9,2,0,7
380,Diamond Princess,Canada,0.0,0.0,2020-04-26,0,1,0,-1
381,Grand Princess,Canada,0.0,0.0,2020-04-26,13,0,0,13
382, ,Diamond Princess,0.0,0.0,2020-04-26,712,13,645,54
